Date,Link
10/16/18,http://www.chicagotribune.com/suburbs/naperville-sun/news/ct-nvs-flu-shots-naperville-st-1017-story.html
10/17/18,http://www.chicagotribune.com/suburbs/naperville-sun/news/ct-nvs-flu-shots-naperville-st-1017-story.html
10/24/18,https://thejewishnews.com/2018/10/24/no-flu-no-fomo/
10/24/18,http://journalrecord.com/2018/10/23/local-drugstores-prepared-to-meet-demand-for-flu-shots/ 
10/24/18,http://journalrecord.com/2018/10/23/local-drugstores-prepared-to-meet-demand-for-flu-shots/ 
10/25/18,https://patch.com/michigan/novi/no-flu-no-fomo
10/26/18,
10/28/18,http://mms.tveyes.com/PlaybackPortal.aspx?SavedEditID=22e28ae3-a84c-4dc1-af6f-a6f7fc023637
10/28/18,https://abc7chicago.com/health/walgreens-debunks-myths-about-the-flu/4560284/
